"","cycle","st_cd_fips","party","total_ads","stations","attack_ad_pct"
"476",2010,"2602","R",581,2273,0
"477",2010,"2603","D",1312,6560,0
"478",2010,"2603","R",1426,6094,0.484572230014025
"479",2010,"2604","D",5,5,1
"480",2010,"2605","D",855,3414,0.52280701754386
"481",2010,"2605","R",278,1112,0
"482",2010,"2606","R",400,1600,0
"483",2010,"2607","D",10304,89680,0.821525621118012
"484",2010,"2607","R",7573,63095,0.774197808002113
"485",2010,"2609","D",1818,9311,0.627612761276128
"486",2010,"2609","R",801,3239,0.776529338327091
"487",2010,"2613","D",47,188,0
"488",2010,"2615","D",760,3435,0.757894736842105
"489",2010,"2615","R",224,1063,0.745535714285714
"490",2010,"2701","D",1551,17012,0
"491",2010,"2703","R",1705,10888,0.625806451612903
"492",2010,"2706","D",2925,19315,0.568888888888889
"493",2010,"2706","R",2985,16310,0.895812395309883
"494",2010,"2707","D",626,2504,0
"495",2010,"2708","D",250,1500,1
"496",2010,"2708","R",257,1278,0.0272373540856031
"497",2010,"2801","D",4064,34897,0.317175196850394
"498",2010,"2801","R",3693,28821,0.538857297590035
"499",2010,"2802","D",97,485,0
"500",2010,"2803","R",378,2187,0
"501",2010,"2902","D",18,18,0
"502",2010,"2903","D",927,4635,0.604099244875944
"503",2010,"2903","R",1307,5961,0.309869931140015
"504",2010,"2904","D",6763,79405,0.313766080141949
"505",2010,"2904","R",5362,42440,0.548489369638195
"506",2010,"2905","R",165,495,0
"507",2010,"2907","D",262,2037,0.225190839694656
"508",2010,"2907","R",2932,22184,0.0177353342428377
"509",2010,"2908","D",803,8355,0
"510",2010,"2908","R",1814,12656,0.539140022050717
"511",2010,"3001","D",415,3188,0.0192771084337349
"512",2010,"3001","R",288,1638,0.934027777777778
"513",2010,"3102","D",1349,5396,0.450704225352113
"514",2010,"3102","R",2528,10112,0.393987341772152
"515",2010,"3203","D",5448,33488,0.855359765051395
"516",2010,"3203","R",3772,17181,0.870890774125133
"517",2010,"3301","D",664,900,0.668674698795181
"518",2010,"3301","R",2493,10099,0.552346570397112
"519",2010,"3302","D",3457,12627,NA
"520",2010,"3302","R",1771,8608,0.900621118012422
"521",2010,"3402","D",37,111,1
"522",2010,"3403","D",980,7535,0.53469387755102
"523",2010,"3403","R",243,1166,0
"524",2010,"3412","R",145,580,0
"525",2010,"3501","D",4904,33543,0.673531810766721
"526",2010,"3501","R",4395,22090,0.829806598407281
"527",2010,"3502","D",3773,28473,0.83355420090114
"528",2010,"3502","R",3184,23211,0.640389447236181
"529",2010,"3503","D",372,1810,0.424731182795699
"530",2010,"3503","R",51,181,0
"531",2010,"3601","D",67,268,0
"532",2010,"3601","R",83,286,0.55421686746988
"533",2010,"3613","D",33,165,1
"534",2010,"3614","D",80,240,0
"535",2010,"3619","D",146,563,0.534246575342466
"536",2010,"3619","R",112,382,1
"537",2010,"3620","D",7469,64320,0.3783639041371
"538",2010,"3620","R",4226,20482,0.628253667770942
"539",2010,"3621","D",177,885,0
"540",2010,"3623","D",4873,58884,0.777549764005746
"541",2010,"3623","R",6993,72597,0.527384527384527
